Timestamp	EXO-DOmgL	EXO-pH	EXO-TempC
01/05/2020 00:00	6.22	749	26079
01/05/2020 00:10	5.94	749	26012
01/05/2020 00:20	6.11	75	2603
01/05/2020 00:30	6.04	746	25977
01/05/2020 00:40	6.38	753	26089
01/05/2020 00:50	6.39	753	26062
01/05/2020 01:00	6.41	753	26059
01/05/2020 01:10	6.36	753	25946
01/05/2020 01:20	6.29	752	25953
01/05/2020 01:30	6.26	752	25897
01/05/2020 01:40	6.23	752	258
01/05/2020 01:50	6.23	752	25752
01/05/2020 02:00	6.22	752	25743
01/05/2020 02:10	6.19	752	25691
01/05/2020 02:20	6.16	752	25671
01/05/2020 02:30	6.15	752	25636
01/05/2020 02:40	6.15	753	25589
01/05/2020 02:50	6.12	753	25603
01/05/2020 03:00	6.14	753	25598
01/05/2020 03:10	6.14	754	2561
01/05/2020 03:20	6.13	754	25586
01/05/2020 03:30	6.12	753	25565
01/05/2020 03:40	6.09	754	25524
01/05/2020 03:50	6.09	754	25484
01/05/2020 04:00	6.03	754	25445
01/05/2020 04:10	5.99	753	25435
01/05/2020 04:20	5.92	752	25364
01/05/2020 04:30	5.89	752	25314
01/05/2020 04:40	5.85	753	25297
01/05/2020 04:50	5.76	752	25257
01/05/2020 05:00	5.72	751	25227
01/05/2020 05:10	5.64	751	25221
01/05/2020 05:20	5.53	751	25206
01/05/2020 05:30	5.63	751	25186
01/05/2020 05:40	5.59	748	2509
01/05/2020 05:50	5.79	75	24991
01/05/2020 06:00	5.7	749	25001
01/05/2020 06:10	5.62	75	24966
01/05/2020 06:20	5.87	752	24732
01/05/2020 06:30	6.01	752	24919
01/05/2020 06:40	6.04	753	24736
01/05/2020 06:50	6.04	751	24828
01/05/2020 07:00	5.98	752	24961
01/05/2020 07:10	5.92	752	24991
01/05/2020 07:20	5.8	75	25032
01/05/2020 07:30	5.83	751	25069
01/05/2020 07:40	5.9	751	24926
01/05/2020 07:50	6	751	24752
01/05/2020 08:00	5.94	751	24797
01/05/2020 08:10	5.93	75	24877
01/05/2020 08:20	5.93	751	24777
01/05/2020 08:30	5.96	751	24799
01/05/2020 08:40	5.95	751	24848
01/05/2020 08:50	5.97	75	24828
01/05/2020 09:00	5.97	75	24776
01/05/2020 09:10	6	75	24727
01/05/2020 09:20	6	751	24702
01/05/2020 09:30	6.02	75	24724
01/05/2020 09:40	6.02	75	2476
01/05/2020 09:50	6.07	751	24766
01/05/2020 10:00	6.1	751	24787
01/05/2020 10:10	6.11	751	24801
01/05/2020 10:20	6.18	751	24807
01/05/2020 10:30	6.22	751	24814
01/05/2020 10:40	6.28	752	24803
01/05/2020 10:50	6.37	753	24802
01/05/2020 11:00	6.39	753	24861
01/05/2020 11:10	6.43	752	24907
01/05/2020 11:20	6.54	754	24946
01/05/2020 11:30	6.6	754	25003
01/05/2020 11:40	6.6	755	25061
01/05/2020 11:50	6.69	756	25113
01/05/2020 12:00	6.76	756	25138
01/05/2020 12:10	6.78	756	25171
01/05/2020 12:20	6.77	756	25193
01/05/2020 12:30	6.77	756	25251
01/05/2020 12:40	6.85	756	25294
01/05/2020 12:50	6.91	758	25338
01/05/2020 13:00	6.95	758	25382
01/05/2020 13:10	6.95	758	25414
01/05/2020 13:20	7.03	759	25447
01/05/2020 13:30	7.04	76	25493
01/05/2020 13:40	7.07	76	25528
01/05/2020 13:50	7.05	76	25574
01/05/2020 14:00	7.27	762	2564
01/05/2020 14:10	7.06	759	25678
01/05/2020 14:20	7.29	761	25713
01/05/2020 14:30	7.57	764	25841
01/05/2020 14:40	7.47	763	25858
01/05/2020 14:50	7.45	761	25831
01/05/2020 15:00	7.78	767	25937
01/05/2020 15:10	7.63	765	25645
01/05/2020 15:20	7.31	762	25549
01/05/2020 15:30	7.48	764	25618
01/05/2020 15:40	7.61	765	25646
01/05/2020 15:50	7.57	765	25633
01/05/2020 16:00	7.63	766	25601
01/05/2020 16:10	7.7	767	25609
01/05/2020 16:20	7.76	769	25597
01/05/2020 16:30	7.79	769	25585
01/05/2020 16:40	7.6	767	25518
01/05/2020 16:50	8.02	772	25585
01/05/2020 17:00	7.78	768	25556
01/05/2020 17:10	7.73	768	25573
01/05/2020 17:20	7.64	768	25581
01/05/2020 17:30	7.78	769	25585
01/05/2020 17:40	7.82	77	25589
01/05/2020 17:50	7.66	769	25602
01/05/2020 18:00	7.74	769	25571
01/05/2020 18:10	7.58	769	2544
01/05/2020 18:20	7.69	768	25461
01/05/2020 18:30	7.43	765	2552
01/05/2020 18:40	7.57	766	25481
01/05/2020 18:50	7.62	767	2546
01/05/2020 19:00	7.42	765	2527
01/05/2020 19:10	7.4	764	25201
01/05/2020 19:20	7.37	764	25237
01/05/2020 19:30	7.44	766	25225
01/05/2020 19:40	7.44	765	25271
01/05/2020 19:50	7.47	765	2517
01/05/2020 20:00	7.31	764	2522
01/05/2020 20:10	7.26	764	25185
01/05/2020 20:20	7.21	763	25183
01/05/2020 20:30	7.21	763	25108
01/05/2020 20:40	7.08	761	25055
01/05/2020 20:50	7.04	761	25051
01/05/2020 21:00	6.96	761	24948
01/05/2020 21:10	6.91	759	24965
01/05/2020 21:20	6.92	759	24909
01/05/2020 21:30	6.89	759	2489
01/05/2020 21:40	6.86	758	24899
01/05/2020 21:50	6.81	758	24886
01/05/2020 22:00	6.84	757	2488
01/05/2020 22:10	6.75	757	24869
01/05/2020 22:20	6.69	756	24849
01/05/2020 22:30	6.67	756	24834
01/05/2020 22:40	6.66	756	24822
01/05/2020 22:50	6.64	756	24758
01/05/2020 23:00	6.69	756	24717
01/05/2020 23:10	6.67	756	24702
01/05/2020 23:20	6.67	756	24677
01/05/2020 23:30	6.69	756	24655
01/05/2020 23:40	6.63	755	24616
01/05/2020 23:50	6.61	755	24613
02/05/2020 00:00	6.6	755	24564
02/05/2020 00:10	6.52	755	24557
02/05/2020 00:20	6.52	754	24526
02/05/2020 00:30	6.59	755	24507
02/05/2020 00:40	6.44	753	24501
02/05/2020 00:50	6.47	752	24516
02/05/2020 01:00	6.52	753	24474
02/05/2020 01:10	6.46	752	24454
02/05/2020 01:20	6.38	752	24439
02/05/2020 01:30	6.38	75	24424
02/05/2020 01:40	6.33	751	24434
02/05/2020 01:50	6.22	751	24375
02/05/2020 02:00	6.26	748	24244
02/05/2020 02:10	6.14	746	24195
02/05/2020 02:20	6.26	746	24086
02/05/2020 02:30	6.56	754	24477
02/05/2020 02:40	6.55	754	24396
02/05/2020 02:50	6.61	754	24195
