Timestamp;EXO-DOmgL;EXO-pH;EXO-TempC
01/11/2020 00:00;5.97;791;27643
01/11/2020 00:10;5.93;791;27664
01/11/2020 00:20;5.9;79;27652
01/11/2020 00:30;5.87;79;27641
01/11/2020 00:40;5.84;79;27624
01/11/2020 00:50;5.78;791;27606
01/11/2020 01:00;5.75;79;27579
01/11/2020 01:10;5.74;787;27607
01/11/2020 01:20;5.7;787;27596
01/11/2020 01:30;5.65;786;27568
01/11/2020 01:40;5.59;786;27526
01/11/2020 01:50;5.61;786;27549
01/11/2020 02:00;5.61;786;27542
01/11/2020 02:10;5.6;787;27546
01/11/2020 02:20;5.59;786;27553
01/11/2020 02:30;5.58;786;27555
01/11/2020 02:40;5.6;785;27554
01/11/2020 02:50;5.6;785;2755
01/11/2020 03:00;5.62;785;27546
01/11/2020 03:10;5.65;785;27547
01/11/2020 03:20;5.66;784;27558
01/11/2020 03:30;5.68;784;27548
01/11/2020 03:40;5.7;784;27563
01/11/2020 03:50;5.72;784;27577
01/11/2020 04:00;5.72;784;27571
01/11/2020 04:10;5.72;784;2756
01/11/2020 04:20;5.72;786;27567
01/11/2020 04:30;5.73;785;27568
01/11/2020 04:40;5.72;785;27552
01/11/2020 04:50;5.72;784;27553
01/11/2020 05:00;5.7;783;27537
01/11/2020 05:10;5.7;783;2753
01/11/2020 05:20;5.68;783;27516
01/11/2020 05:30;5.66;784;27494
01/11/2020 05:40;5.66;784;27492
01/11/2020 05:50;5.65;784;27472
01/11/2020 06:00;5.63;783;27462
01/11/2020 06:10;5.63;784;27449
01/11/2020 06:20;5.61;783;27449
01/11/2020 06:30;5.6;783;2743
01/11/2020 06:40;5.59;783;27428
01/11/2020 06:50;5.59;783;27424
01/11/2020 07:00;5.59;782;27426
01/11/2020 07:10;5.58;782;27437
01/11/2020 07:20;5.56;782;27435
01/11/2020 07:30;5.55;782;2745
01/11/2020 07:40;5.58;783;27464
01/11/2020 07:50;5.64;783;27508
01/11/2020 08:00;5.6;783;27488
01/11/2020 08:10;5.64;784;27537
01/11/2020 08:20;5.65;784;27597
01/11/2020 08:30;5.64;784;27598
01/11/2020 08:40;5.63;784;27638
01/11/2020 08:50;5.59;785;27658
01/11/2020 09:00;5.62;784;2767
01/11/2020 09:10;5.59;784;2766
01/11/2020 09:20;5.51;784;27661
01/11/2020 09:30;5.47;784;2768
01/11/2020 09:40;5.47;785;27715
01/11/2020 09:50;5.48;786;27737
01/11/2020 10:00;5.53;787;2777
01/11/2020 10:10;5.62;788;27827
01/11/2020 10:20;5.68;789;27879
01/11/2020 10:30;5.75;79;27919
01/11/2020 10:40;5.79;791;27928
01/11/2020 10:50;5.84;792;27981
01/11/2020 11:00;5.91;793;2803
01/11/2020 11:10;5.89;792;28057
01/11/2020 11:20;5.92;792;28079
01/11/2020 11:30;5.9;791;28245
01/11/2020 11:40;5.95;792;28175
01/11/2020 11:50;5.97;792;28273
01/11/2020 12:00;5.94;793;28385
01/11/2020 12:10;5.98;792;28383
01/11/2020 12:20;6;793;28363
01/11/2020 12:30;6.01;791;28337
01/11/2020 12:40;6.04;792;28543
01/11/2020 12:50;6.05;791;28437
01/11/2020 13:00;6.03;791;28354
01/11/2020 13:10;6.01;79;28347
01/11/2020 13:20;6.03;79;28393
01/11/2020 13:30;6.06;789;28464
01/11/2020 13:40;6.1;788;28508
01/11/2020 13:50;6.09;789;28483
01/11/2020 14:00;6.04;788;28427
01/11/2020 14:10;6.04;788;28438
01/11/2020 14:20;6.06;788;28461
01/11/2020 14:30;6.08;788;28512
01/11/2020 14:40;6.12;788;28561
01/11/2020 14:50;6.14;788;28631
01/11/2020 15:00;6.16;788;28673
01/11/2020 15:10;6.19;788;2873
01/11/2020 15:20;6.22;788;28781
01/11/2020 15:30;6.23;787;28799
01/11/2020 15:40;6.27;788;28832
01/11/2020 15:50;6.27;787;28836
01/11/2020 16:00;6.3;786;28864
01/11/2020 16:10;6.31;786;28866
01/11/2020 16:20;6.35;786;289
01/11/2020 16:30;6.33;785;28881
01/11/2020 16:40;6.35;786;28907
01/11/2020 16:50;6.35;785;28906
01/11/2020 17:00;6.35;785;28908
01/11/2020 17:10;6.36;786;28912
01/11/2020 17:20;6.35;786;28909
01/11/2020 17:30;6.35;785;28902
01/11/2020 17:40;6.33;784;28882
01/11/2020 17:50;6.32;783;28867
01/11/2020 18:00;6.31;783;2887
01/11/2020 18:10;6.29;784;28857
01/11/2020 18:20;6.28;782;28852
